Green Bond ISIN,Green Bond Name,Trucost Issuer ID, Issuer Name,Issuer GICS Sector / Category,Issuer Country of Origin,Issue Date,Creation Date,Latest Analysis Date,Nominal Amount,Currency,USD Reported Currency Exchange Rate,Maturity Date,Coupon (%),Labelling,Africa (% of UOP),Asia (% of UOP),Europe (% of UOP),North America (% of UOP),Oceania (% of UOP),South America (% of UOP),Undisclosed region (% of UOP),CBI Category,CBI - Green Proceeds (% of UOP),CBI - Renewable Electricity and Heat Production (% of UOP),CBI - Other Electricity and Heat Production (% of UOP),CBI - Nuclear Energy (%UOP),"CBI -  Transmission, distribution & storage (% of UOP)",CBI -  Transport (% of UOP),CBI -  Water (% of UOP),CBI -  Buildings (% of UOP),CBI -  Land Use and Marine Resources (% of UOP),CBI -  Industry (% of UOP),CBI -  Waste (% of UOP),CBI -  ICT (% of UOP),CBI - Others Green (% of UOP),CBI - Undisclosed/Not disbursed proceeds (% of UOP),CBI - Proceeds that are Not Green (% of UOP),Wind Energy (% of UOP),Solar Energy (% of UOP),Hydro Energy (% of UOP),Geothermal Energy (% of UOP),Wave/Tidal Energy (% of UOP),Cogeneration Energy (% of UOP),Bioenergy (% of UOP),Residential Buildings (% of UOP),Commercial Buildings (% of UOP),Energy Efficient Products (% of UOP),Industrial Efficiencies (% of UOP),National Rail (% of UOP),Urban Rail (% of UOP),Public Road Transport (% of UOP),Private Road Transport (% of UOP),Social (% of UOP),Total (GWh),Total Area (m2),Total Passenger (km),Total Energy savings (MWh),CBI - Renewable Electricity and Heat Production (GWh),CBI - Area (m2),CBI - Passenger (km),CBI - Energy savings (MWh),Annual Construction & Disposal emissions (tCO2e),Annual Operational emissions (tCO2e),Lifetime Construction & Disposal emissions (tCO2e),Lifetime Operational emissions (tCO2e),Lifetime emission intensity (tCO2e per GWh),Lifetime emission intensity (tCO2e per Area m2),Lifetime emission intensity (tCO2e per passenger km),Lifetime emission intensity (tCO2e per energy savings MWh),SDG 13 (13.2) Calculated Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Calculated Avoided Emissions Attributable to the bond (tCO2e),Use of Proceeds Covered by Calculated Avoided Emissions (%),SDG 13 (13.2) Disclosed Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Disclosed Avoided Emissions (tCO2e),Use of Proceeds Covered by Disclosed Avoided Emissions (%),Calculated Avoided Emissions - Confidence Level,Issuer Score,Impact Score,Use of Proceeds Covered by Impact Score (%),Overall Governance Score,Governance/UOP Score (%),Governance/Process Score (%),Governance/Management Score (%),Governance/Reporting Score (%),Sources
FR0011911239,1.375% SNR EMTN 19/05/2020 EUR100000'62',48499,ENGIE SA,Utilities,France,19/05/2014,07/02/2022,07/02/2022,1200,EUR,1.15,19-05-20,1.38,Green,0,0,29,0,0,41,30,Renewable Electricity and Heat Production,100,85,0,0,0,0,0,0,0,0,0,0,15,0,0,21,16,37,0,0,0,0,0,0,2,0,0,0,0,0,0,"3,409",NA,NA,NA,"3,409",NA,NA,NA,"45,220","530,549","271,318","3,183,294",138,NA,NA,NA,-287,"-396,117",,NA,NA,,Moderate,40,80,,100,100,100,100,100,https://www.engie.com/sites/default/files/assets/documents/2021-03/registration-document-2014_0.pdf; https://www.engie.com/sites/default/files/assets/documents/2021-03/registration-document-2015.pdf; https://www.engie.com/sites/default/files/assets/documents/2020-01/registration-document-2016_compressed.pdf
FR0013504677,1.75% SNR EMTN 27/03/2028 EUR100000 '95',48499,ENGIE SA,Utilities,France,27/03/2020,17/02/2022,17/02/2022,750,EUR,1.17,27-03-28,1.75,Green,0,0,13,4,0,0,84,Undisclosed/Not disbursed proceeds,100,26,0,0,0,0,0,0,0,0,0,0,5,69,0,11,6,4,1,0,0,5,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,40,50,,84,65,100,100,71,https://www.engie.com/sites/default/files/assets/documents/2021-03/ENGIE_URD_2020_0.pdf
FR0013518487,0.25% GTD SNR EMTN 25/11/29 EUR100000'25,NA,Unedic,Financials,France,17/06/2020,17/02/2022,17/02/2022,4000,EUR,1.18,25-11-29,0.25,Social,0,0,100,0,0,0,0,Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,,80,50,100,100,71,https://www.unedic.org/sites/default/files/2021-12/Une%CC%81dic%20-%20Social%20Bond%20Reporting%202020-2021%20-%20ENG.pdf; https://www.unedic.org/sites/default/files/2020-07/2020%2006%2030%20Social%20Bond%20Framework%20Un%C3%A9dic%20-%20EN%20VDEF.pdf
XS2079413527,4.496%-FRN SUB PERP EUR100000 'REGS',53028,Citycon Oyj,Real Estate,Finland,22/11/2019,04/03/2022,04/03/2022,350,EUR,1.16,Perpetual,4.5,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,0,0,0,0,0,0,0,0,"181,118",NA,NA,0,"181,118",NA,NA,"1,324","9,191","95,295","663,844",163,4,NA,NA,-4,"-1,771",,NA,NA,,Low,30,81,,93,100,100,100,71,https://www.citycon.com/sites/default/files/documents/citycon_green_financing_allocation_of_proceeds_and_impact_report_2020.pdf; https://www.citycon.com/investors/financing/hybrid-bond-issues
XS1317148580,0% IDX/LKD SNR BDS 18/05/2029 EUR100000,91158,European Investment Bank,Financials,Luxembourg,18/11/2015,23/02/2022,23/02/2022,500,EUR,1.14,18-05-29,0,Green,3,2,95,0,0,0,0,Renewable Electricity and Heat Production,100,62,0,0,38,0,0,0,0,0,0,0,0,0,0,34,5,3,0,0,17,3,0,0,0,0,0,0,0,0,0,"2,249",NA,NA,NA,"2,249",NA,NA,NA,"5,263","297,689","73,687","4,167,651",380,NA,NA,NA,"-1,127","-643,203",,"-1,113","-635,301",,High,97,42,,100,100,100,100,100,https://www.eib.org/attachments/fi/cab-statement-2016.pdf; https://www.eib.org/attachments/fi/cab-statement-2015.pdf
US65562QAW50,MTN SER D 2.250 Sep-30-2021,238471,Nordic Investment Bank,Financials,Finland,23/09/2014,22/02/2022,22/02/2022,500,USD,1,30-09-21,2.25,Green,0,0,100,0,0,0,0,Renewable Electricity and Heat Production,100,67,0,0,0,2,3,12,0,0,10,0,6,0,0,14,0,4,0,0,49,0,0,8,0,0,0,0,0,0,0,"1,672","16,907",NA,NA,"1,672","16,907",NA,NA,"2,572","332,673","18,005","2,328,711",950,1,NA,NA,-606,"-303,024",,-512,"-255,786",,Moderate,86,38,,83,100,100,33,100,https://www.nib.int/investors/environmental-bonds/neb-financed-projects?year=2014; https://www.nib.int/files/4b92803074f13bbaae55d356743fb5980d292070/6195-nib-environmental-bond-report-2016.pdf; https://www.nib.int/files/f5bde5526b8d812aead65dd8e3e182d55d347842/10460-neb-framework-oct-2019.pdf
XS2051210214,0% SNR MTN 10/09/2026 SEK2000000,89414,European Bank for Reconstruction and Development,Financials,United Kingdom,10/09/2019,21/02/2022,22/02/2022,1000,SEK,0.11,10/9/2026,0,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,023","-225,073",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
XS2108490173,0.25% SNR MTN 24/01/2025 SEK1000000,89414,European Bank for Reconstruction and Development,Financials,United Kingdom,24/01/2020,21/02/2022,21/02/2022,1000,SEK,0.11,24-01-25,0.25,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,010","-226,053",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
US29874QEE08,EMTN 1.500 Feb-13-2025,89414,European Bank for Reconstruction and Development,Financials,United Kingdom,06/02/2020,23/02/2022,23/02/2022,925,USD,1,13-02-25,1.5,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,012","-1,861,109",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
XS1937041157,0.477% SNR MTN 18/01/2024 SEK1000000,89414,European Bank for Reconstruction and Development,Financials,United Kingdom,18/01/2019,23/02/2022,23/02/2022,2500,SEK,0.11,18-01-24,0.48,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,034","-560,467",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
BE0002699800,0.875% SNR NTS 10/06/2030 EUR100000'GTD',241328,Aquafin NV,Industrials,Belgium,10/06/2020,24/02/2022,24/02/2022,125,EUR,1.17,10/6/1930,0.88,Green,0,0,100,0,0,0,0,Water,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,89,,70,75,100,33,71,https://www.aquafin.be/sites/aquafin/files/2021-04/BE%20GAAP_UK_def_0.pdf; https://www.aquafin.be/sites/aquafin/files/2021-03/Impact%20report%202020_def_1.pdf; https://www.aquafin.be/sites/aquafin/files/2020-05/Green%20Finance%20Framework_def_0.pdf; https://www.aquafin.be/en/green-finance
US06367WRC90,MEDIUM TERM SR NT SER E 2.050 Nov-1-2022,47014,Bank of Montreal,Financials,Canada,16/10/2019,24/02/2022,24/02/2022,500,USD,1,1/11/2022,2.05,Sustainable,0,0,0,100,0,0,0,Land Use and Marine Resources,44,12,0,0,0,0,0,13,19,0,1,0,0,0,56,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,56,101,"63,069",NA,NA,101,"63,069",NA,NA,888,"8,882","2,665","26,647",25,8,NA,NA,-90,"-44,879",,-71,"-35,526",,Moderate,37,22,,88,50,100,100,100,https://our-impact.bmo.com/wp-content/uploads/2021/12/BMO_Bonds_Report_EN_AODA_211216.pdf; https://our-impact.bmo.com/wp-content/uploads/2021/01/BMO-2020-Bond-Impact-Report-1.pdf
US29874QDG64,FR 1.875%071521,89414,European Bank for Reconstruction and Development,Financials,United Kingdom,28/09/2017,24/02/2022,24/02/2022,500,USD,1,15-07-21,1.88,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,021","-1,010,403",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
XS0852107266,2.75% SNR BDS 13/11/2023 SEK10000 '1965',91158,European Investment Bank,Financials,Luxembourg,13/11/2012,23/02/2022,23/02/2022,750,SEK,0.12,13-11-23,2.75,Green,0,0,100,0,0,0,0,Renewable Electricity and Heat Production,100,72,0,0,0,0,0,28,0,0,0,0,0,0,0,49,0,21,0,0,2,0,0,0,28,0,0,0,0,0,0,37,NA,NA,NA,37,NA,NA,NA,123,777,"1,350","8,545",76,NA,NA,NA,-164,"-15,050",,-364,"-33,349",,Moderate,97,79,,100,100,100,100,100,https://www.eib.org/attachments/fi/cab-statement-2016.pdf
XS2089369487,1.0575% SNR MTN 11/12/2049 EUR1000000,89414,European Bank for Reconstruction and Development,Financials,United Kingdom,11/12/2019,24/02/2022,24/02/2022,40,EUR,1.16,11/12/1949,1.06,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,015","-93,333",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
XS2247623643,3.5% SNR SEC NTS 30/10/25 EUR100000'REGS,56572,Getlink SE,Industrials,France,30/10/2020,24/02/2022,24/02/2022,700,EUR,1.18,30-10-25,3.5,Green,0,0,96,0,0,0,4,Transport,100,0,0,0,0,51,0,0,0,0,0,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,34,60,,80,87,100,33,100,https://www.getlinkgroup.com/content/uploads/2021/10/getlink-green-finance-framework-october-2021.pdf; https://www.getlinkgroup.com/content/uploads/2021/10/getlink-green-bond-proceeds-allocation-report-october-2021.pdf; https://www.getlinkgroup.com/content/uploads/2021/03/2020-universal-registration-document-getlink-se.pdf; https://www.getlinkgroup.com/content/uploads/2020/10/DNV-second-party-opinion-2020.pdf
XS1494406074,0.5% SNR NTS 22/09/23 SEK10000'947''REGS,238471,Nordic Investment Bank,Financials,Finland,22/09/2016,22/02/2022,24/02/2022,1500,SEK,0.11,22-09-23,0.5,Green,0,0,100,0,0,0,0,Water,100,11,0,0,0,21,48,18,0,0,0,0,1,0,0,0,0,4,0,0,7,0,0,15,0,0,6,15,0,0,0,114,"19,730",NA,NA,114,"19,730",NA,NA,280,"26,037","1,958","182,257",707,5,NA,NA,-127,"-21,419",,-95,"-16,025",,Low,86,83,,83,100,100,33,100,https://www.nib.int/files/4b92803074f13bbaae55d356743fb5980d292070/6195-nib-environmental-bond-report-2016.pdf; https://www.nib.int/investors/environmental-bonds/neb-financed-projects?year=2016; https://www.nib.int/files/f5bde5526b8d812aead65dd8e3e182d55d347842/10460-neb-framework-oct-2019.pdf
XS1673097637,0.448% SNR NTS 29/08/22 SEK1000000'REGS',238471,Nordic Investment Bank,Financials,Finland,29/08/2017,22/02/2022,23/02/2022,2000,SEK,0.11,29-08-22,0.45,Green,0,0,100,0,0,0,0,Water,100,8,0,0,0,0,50,40,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-156,"-34,927",,NA,86,77,,83,100,100,33,100,https://www.nib.int/files/17fa26396fdb9a204a26b3aad802442a4a60e33f/7574-nib-environmental-bond-report-2017.pdf; https://www.nib.int/files/f5bde5526b8d812aead65dd8e3e182d55d347842/10460-neb-framework-oct-2019.pdf; https://www.nib.int/investors/environmental-bonds/neb-financed-projects?year=2017
SE0010766121,FRN MTN 01/2023 SEK1000000 '534 GB',244839,Vasakronan AB,Real Estate,Sweden,16/01/2018,28/02/2022,28/02/2022,300,SEK,0.11,16-01-23,0,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"15,989",NA,NA,NA,"15,989",NA,NA,117,885,586,"4,426",NA,4,NA,NA,-5,-178,,-4,-142,,Moderate,NA,75,,94,75,100,100,100,https://wwwvasakronanse.cdn.triggerfish.cloud/uploads/2018/10/vasakronan_green_bond_framework.pdf; https://wwwvasakronanse.cdn.triggerfish.cloud/uploads/2019/05/ap_docsdm-660134-v1-impact_report_2018.pdf
SE0013101912,1.085% SNR BDS 17/09/2027 SEK2000000,42812,Stockholm Exergi Holding AB (publ),Utilities,Sweden,17/09/2020,28/02/2022,28/02/2022,1000,SEK,0.12,17-09-27,1.09,Green,0,0,80,0,0,0,20,Renewable Electricity and Heat Production,100,47,0,0,14,0,0,0,0,0,16,0,4,20,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,132,NA,NA,NA,132,NA,NA,NA,83,"29,022",582,"203,153",933,NA,NA,NA,-212,"-24,465",,-292,"-33,600",,Moderate,28,17,,94,77,100,100,100,https://www.stockholmexergi.se/content/uploads/2021/05/Green-Bond-Report-2020_AR-slutlig-2021-05-10.pdf
US02079KAH05,GLOBAL NT 0.450 Aug-15-2025,45305,Alphabet Inc.,Communication Services,United States,03/08/2020,28/02/2022,28/02/2022,1000,USD,1,15-08-25,0.45,Sustainable,0,0,11,5,0,0,84,Undisclosed/Not disbursed proceeds,95,23,0,0,0,0,0,22,0,0,0,0,11,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,608","-2,607,500",,NA,93,53,,93,73,100,100,100,https://www.gstatic.com/gumdrop/sustainability/alphabet-2021-sustainability-bond-impact-report.pdf; https://www.gstatic.com/gumdrop/sustainability/alphabet-2021-sustainability-bond-report-of-independent-accountants.pdf; https://www.gstatic.com/gumdrop/sustainability/alphabet-2020-sustainability-bond-framework.pdf
US02079KAD90,GLOBAL NT 1.100 Aug-15-2030,45305,Alphabet Inc.,Communication Services,United States,03/08/2020,01/03/2022,01/03/2022,2250,USD,1,15-08-30,1.1,Sustainable,0,0,11,5,0,0,83,Undisclosed/Not disbursed proceeds,95,22,0,0,0,0,0,22,0,0,0,0,11,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,601","-5,851,500",,NA,93,53,,93,73,100,100,100,https://www.gstatic.com/gumdrop/sustainability/alphabet-2021-sustainability-bond-impact-report.pdf; https://www.gstatic.com/gumdrop/sustainability/alphabet-2021-sustainability-bond-report-of-independent-accountants.pdf; https://www.gstatic.com/gumdrop/sustainability/alphabet-2020-sustainability-bond-framework.pdf
XS1825539056,0.5% SNR MTN 24/05/2023 SEK1000000'REGS',89414,European Bank for Reconstruction and Development,Financials,United Kingdom,24/05/2018,23/02/2022,24/02/2022,1000,SEK,0.11,24-05-23,0.5,Green,3,28,52,0,0,0,17,Others Green,100,15,0,0,7,18,0,13,0,0,0,5,43,0,0,7,6,0,0,0,0,0,0,7,2,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-2,032","-224,420",,NA,91,35,,83,100,100,33,100,https://www.ebrd.com/documents/environment/ebrd-sustainability-report-2020-pdf.pdf; https://www.ebrd.com/documents/treasury/framework-for-environmental-sustainability-bonds.pdf
FR0011637586,2.25% SNR EMTN 27/04/2021 EUR100000 '19',49667,Electricit? de France S.A.,Utilities,France,27/11/2013,02/03/2022,02/03/2022,1400,EUR,1.16,27-04-21,2.25,Green,0,0,6,94,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,90,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"4,100",NA,NA,NA,"4,100",NA,NA,NA,"15,383","104,128","123,064","833,021",32,NA,NA,NA,-973,"-1,585,096",,-951,"-1,550,000",,Moderate,37,87,,100,100,100,100,100,https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/publications/financial-results/2020-annual-results/pdf/annual-results-2020-appendices-20210304.pdf#page=29; https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/regulated-information/urd/edf-urd-annual-financial-report-2020-en.pdf#page=493; https://www.edf.fr/sites/groupe/files/contrib/groupe-edf/espaces-dedies/espace-finance-fr/investisseurs-et-analystes/espace%20obligataire/Green-Bond/edf_updated_green_bond_framework_investor_presentation-2020-01-21.pdf; https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-fr/investisseurs-et-analystes/espace%20obligataire/Green-Bond/edf_green_bond_framework-september_2016.pdf
XS1842116961,0.37% SNR MTN 26/06/2023 SEK2000000,234772,Asian Development Bank,Financials,Philippines,26/06/2018,02/03/2022,02/03/2022,1500,SEK,0.11,26-06-23,0.37,Green,0,99,0,0,1,0,0,Transport,100,34,0,0,8,53,1,0,0,0,0,0,4,0,0,10,6,1,9,0,0,6,0,0,3,0,30,13,10,0,0,86,NA,NA,NA,86,NA,NA,NA,"3,049","3,931","15,244","19,653",91,NA,NA,NA,-369,"-61,073",,-667,"-110,370",,Moderate,65,71,,83,100,100,33,100,https://www.adb.org/sites/default/files/publication/297141/adb-green-bond-newsletter-2021.pdf; https://www.adb.org/sites/default/files/publication/756966/adb-green-blue-bond-framework.pdf
XS2150179237,2.03% SNR EMTN 02/04/2026 SEK2000000'54',244839,Vasakronan AB,Real Estate,Sweden,02/04/2020,02/03/2022,02/03/2022,1350,SEK,0.11,2/4/2026,2.03,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,276",NA,NA,0,"73,276",NA,NA,543,"4,023","3,259","24,141",163,4,NA,NA,-5,-797,,-3,-464,,Low,NA,75,,94,75,100,100,100,https://wwwvasakronanse.cdn.triggerfish.cloud/uploads/2021/05/impact-report-2020-1.pdf; https://wwwvasakronanse.cdn.triggerfish.cloud/uploads/2018/10/vasakronan_green_bond_framework.pdf
US06051GHW24,MTN FIXED/FLTG RT SER N 2.456 Oct-22-2025,44173,Bank of America Corporation,Financials,United States,17/10/2019,03/03/2022,03/03/2022,2000,USD,1,22-10-25,2.46,Green,0,0,0,100,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,973",NA,NA,NA,"1,973",NA,NA,NA,"36,398","77,032","218,388","462,194",45,NA,NA,NA,-391,"-781,802",,-387,"-773,000",,High,49,87,,83,100,33,100,100,https://investor.bankofamerica.com/fixed-income/esg-themed-issuances; https://d1io3yog0oux5.cloudfront.net/bankofamerica/files/pages/bankofamerica/db/843/description/RPT-05-21-0313_f_ADA.pdf
XS1347786797,0.625% NTS 20/01/2021 SEK10000,238471,Nordic Investment Bank,Financials,Finland,20/01/2016,02/03/2022,02/03/2022,1000,SEK,0.11,20-01-21,0.63,Green,0,0,100,0,0,0,0,Water,100,11,0,0,0,21,48,18,0,0,0,0,1,0,0,0,0,4,0,0,7,0,0,15,0,0,6,15,0,0,0,78,"13,275",NA,NA,78,"13,275",NA,NA,190,"17,844",950,"89,220",707,5,NA,NA,-130,"-14,688",,-97,"-10,992",,Low,86,83,,83,100,100,33,100,https://www.nib.int/files/4b92803074f13bbaae55d356743fb5980d292070/6195-nib-environmental-bond-report-2016.pdf; https://www.nib.int/investors/environmental-bonds/neb-financed-projects?year=2016; https://www.nib.int/files/f5bde5526b8d812aead65dd8e3e182d55d347842/10460-neb-framework-oct-2019.pdf
XS1939355753,EUR1 bil 0.50% callable nts ser 80 due 01/29/2022?,44186,Citigroup Inc.,Financials,United States,29/01/2019,06/03/2022,06/03/2022,1000,EUR,1.15,29-01-22,0.5,Green,0,9,0,76,0,5,10,Buildings,100,38,0,0,0,2,1,58,0,0,0,0,1,0,0,31,6,0,0,0,0,0,0,56,0,0,0,2,0,0,0,NA,"275,889",NA,NA,NA,"275,889",NA,NA,"15,443","49,220","46,329","147,661",43,6,NA,NA,-274,"-313,918",,-491,"-563,237",,Low,90,85,,94,75,100,100,100,https://www.citigroup.com/citi/fixedincome/data/Green-and-Social-Bond-Report.pdf; https://www.citigroup.com/citi/fixedincome/data/Citi-green-bond-framework.pdf?ieNocache=992; https://www.citigroup.com/citi/fixedincome/data/CitiGreenBondSPO-SustainalyticsOpinion.pdf?ieNocache=992
XS2216069067,NA,234775,EUROFIMA European Company for the Financing of Railroad Rolling Stock,Financials,Switzerland,11/08/2020,04/03/2022,04/03/2022,126,USD,1,11/2/2021,0,Not Green,0,0,0,0,0,0,100,Proceeds that are Not Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,70,0,,0,0,0,0,0,https://www.finanzen.net/anleihen/a3h6as-eurofima-europaeische-gesellschaft-fuer-die-finanzierung-von-eisen-anleihe; https://www.eurofima.org/sites/default/assets/File/Sustainability/EUROFIMA-Impact_Report-2022(1).pdf
XS1111084718,1.375% SNR EMTN 17/09/2024 EUR100000'62',234785,Agence Fran?aise de D?veloppement,Financials,France,17/09/2014,07/03/2022,07/03/2022,1000,EUR,1.14,17-09-24,1.38,Green,21,32,0,25,0,22,0,Transport,100,37,0,0,0,49,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,61,,87,75,100,100,71,https://www.afd.fr/sites/afd/files/2017-07/reporting-climate-bond-2014.pdf; https://www.afd.fr/sites/afd/files/2017-08/Vigeo-climate-bond-2014-EN.PDF; https://www.afd.fr/sites/afd/files/2017-07/Attestation-climate-bond-2014.pdf; https://www.afd.fr/sites/afd/files/2019-05-11-48-13/climate-bond-framework-afd.pdf; https://www.afd.fr/sites/afd/files/2021-06-03-15-57/reporting-sdg-bond-2020.pdf; https://www.afd.fr/sites/afd/files/2020-07-09-57-18/AFD_CLIMATE%20BOND%20REPORTING_2019.pdf
XS1799545329,1.875% SNR NTS 20/04/2026 EUR100000'REGS,44338,"ACS Servicios, Comunicaciones y Energ?a, SL",Industrials,Spain,20/04/2018,04/03/2022,04/03/2022,750,EUR,1.15,20-04-26,1.88,Green,25,14,22,28,0,6,4,Renewable Electricity and Heat Production,100,90,0,0,3,0,4,0,0,0,0,0,2,0,0,15,73,2,0,0,0,0,0,0,2,0,0,0,0,0,0,627,NA,NA,NA,627,NA,NA,NA,"42,009","40,636","336,069","325,086",133,NA,NA,NA,-364,"-313,643",,"-1,033","-890,626",,Moderate,27,82,,100,100,100,100,100,https://acsindustria.com/wp-content/uploads/2018/04/Green-Bond-Framework-ACS-SCE-final.pdf; https://acsindustria.com/wp-content/uploads/2018/04/2018-03-21_Second-Party-Opinion_ACS-SCE_VF.pdf; https://acsindustria.com/wp-content/uploads/2021/08/Green-bond-report-2021-completo.pdf
